client_id	path	sentence	up_votes	down_votes	age	gender	accents	variant	locale	segment
53e9ae989566b4a16ba65e4ce8cf6b3c347598cfa1d3fb24773e3251a58f8a36e3d6939b7eb44f25bff3158e3cfbfc500cb7f1e3cf074f42817aa21e6ad092c8	common_voice_fa_36611609.mp3	مروج ساختن	2	0	thirties	male			fa	
54db74edf7f05f77df816942e41ae30a44a461998adcd22d78963ede6fd7f357bb10927ce8d0a6d4f52b7f89e5484fd52d063a25343aaea4d88d4e05f2c1838a	common_voice_fa_36756373.mp3	مداومت	3	0					fa	
5d760439040049434423bb29ea709b39a923f1990d371c4253311c92cd5cb05e121c138b40a83d91f1c0810d2c9403388424099e4c92864d1c17279cab235dee	common_voice_fa_37178283.mp3	اگر از او دعوت نشود دلخور خواهد شد.	2	0	twenties	male			fa	
7683956463023e64f9bb0c579fbff5ad59266bba1944359da5a7316c23fceb07b5ccb25ddf6f40673bb0ca832034c9a98b99aa6c3251d19f3260f7ea4148f9bd	common_voice_fa_36636184.mp3	محافل	2	0					fa	
ec813b3694453036aed1d0aff9ac53299f7d6cb468da90a347f485c0ee7249c0bf6ee0ef430fa96fe30d5e39c9cf1f78a4541568661f7c6d173a7ad2802d7e81	common_voice_fa_37169900.mp3	جواد تعهد کرد که آجرها را سر موعد تحویل بدهد.	2	0	thirties	male			fa	
6bc03c5be8b519a3995218101ff47158552bb98f2b6da080f2e4d8fc882837070e46206a2a81ed657c4f6dded7e04b1ee8a46d214a544a28b243ea114fa29506	common_voice_fa_37012877.mp3	بخش خدمات اقتصاد ما رشد سریعی داشته است.	2	0	twenties	male	ایرانی		fa	
6bc03c5be8b519a3995218101ff47158552bb98f2b6da080f2e4d8fc882837070e46206a2a81ed657c4f6dded7e04b1ee8a46d214a544a28b243ea114fa29506	common_voice_fa_37012879.mp3	با سرعت در جاده میراندیم.	4	2	twenties	male	ایرانی		fa	
00243bfe65b613056abfcfc01852fe62351a6c337b75edde51a8a34aad37035cb3490a828ee36934598c1b4afd2966f2a0812ecd3ba39616a459484b1afbe721	common_voice_fa_37027072.mp3	نظامیان معاف بودند	2	0	thirties	male			fa	
00243bfe65b613056abfcfc01852fe62351a6c337b75edde51a8a34aad37035cb3490a828ee36934598c1b4afd2966f2a0812ecd3ba39616a459484b1afbe721	common_voice_fa_37027090.mp3	آیندهی روشن این مرد جوان	2	1	thirties	male			fa	
00243bfe65b613056abfcfc01852fe62351a6c337b75edde51a8a34aad37035cb3490a828ee36934598c1b4afd2966f2a0812ecd3ba39616a459484b1afbe721	common_voice_fa_37027092.mp3	آواز او همه را فریفته کرد.	3	0	thirties	male			fa	
b66de0d6017a4a2a656a8fc6bbe710ad496d33ab529a464898af0bf7a255b806f063722a7e3c211860dbf4edbc58db8fa0881e31a9a2f3de5e135af2e88b322e	common_voice_fa_36549417.mp3	آب درمانی	2	0	thirties	male			fa	
b66de0d6017a4a2a656a8fc6bbe710ad496d33ab529a464898af0bf7a255b806f063722a7e3c211860dbf4edbc58db8fa0881e31a9a2f3de5e135af2e88b322e	common_voice_fa_36549424.mp3	مرده باد...!	2	0	thirties	male			fa	
b66de0d6017a4a2a656a8fc6bbe710ad496d33ab529a464898af0bf7a255b806f063722a7e3c211860dbf4edbc58db8fa0881e31a9a2f3de5e135af2e88b322e	common_voice_fa_36623836.mp3	آیا در شهرهای میاندوآب، عجبشیر و آذرشهر هم خدمترسانی دارید؟	2	0	thirties	male			fa	
